id_source,id_target,distance
446,44,9019
446,69,3996
446,243,6457
446,498,9535
446,515,7080
446,665,10292
447,652,5640
448,358,10144
448,359,6858
448,457,4527
448,459,1041
448,534,6414
448,535,8094
449,418,12986
449,450,5258
450,418,11226
450,449,5258
452,81,8413
452,610,7144
453,48,10298
453,65,10067
453,263,10557
453,579,12564
454,47,7129
454,527,8617
456,191,8270
456,217,12124
457,358,5637
457,359,4774
457,361,9672
457,364,11650
457,368,9357
457,448,4527
457,459,4745
457,460,10619
457,534,8959
457,535,9548
459,358,10372
459,359,6267
459,368,12960
459,448,1041
459,457,4745
459,534,7376
459,535,9122
460,345,4170
460,357,12123
460,358,6072
460,359,9748
460,361,1051
460,364,5563
460,368,3384
460,457,10619
460,532,12574
460,533,12376
472,15,8081
472,213,12581
472,474,11137
472,558,10930
472,603,12120
473,10,9228
473,53,4682
473,413,2980
473,668,1891
474,12,10037
474,15,10590
474,213,9653
474,472,11137
475,114,1602
475,138,10804
476,181,11668
476,238,9189
476,365,10412
476,370,5885
478,198,12495
478,483,10885
478,484,4084
478,510,11933
478,516,10074
478,543,5075
479,480,3324
479,481,11817
479,518,7169
479,519,7665
480,479,3324
480,481,9325
480,518,10472
480,519,10934
481,198,10233
481,435,6811
481,479,11817
481,480,9325
482,36,6372
482,419,8696
482,435,10714
483,198,5152
483,478,10885
483,484,7059
483,510,3574
483,543,7201
484,198,9761
484,478,4084
484,483,7059
484,510,7849
484,543,1665
485,58,11890
485,133,12219
485,401,5731
485,605,8557
486,405,12125
486,514,11712
486,615,8562
487,386,4980
487,391,4462
489,185,4755
489,268,4227
491,108,11101
491,111,6141
491,219,3867
491,260,10783
491,261,3671
491,262,7416
492,94,9850
492,117,7530
492,306,3791
492,355,9292
493,187,8760
494,74,6632
494,166,8420
494,278,9696
494,334,11119
494,348,5640
494,511,3903
494,530,4378
494,672,8363
495,366,10960
495,369,9180
497,140,10495
497,160,8988
497,235,11718
497,298,5173
497,395,12491
498,12,10525
498,14,11791
498,44,12481
498,69,10096
498,77,6764
498,161,8818
498,374,6908
498,446,9535
498,515,3217
498,665,5577
500,42,11728
500,135,11606
500,291,5340
500,583,12774
500,584,12079
502,95,7855
502,96,6752
502,103,9521
502,217,10310
504,402,6532
504,410,11065
507,104,2131
507,218,8178
507,557,1845
507,591,894
509,336,10891
509,416,10350
510,198,8664
510,478,11933
510,483,3574
510,484,7849
510,543,7193
511,74,4417
511,166,10703
511,278,5986
511,334,7283
511,348,2975
511,381,9364
511,436,12984
511,494,3903
511,530,8099
511,672,6292
514,176,9586
514,486,11712
515,12,12740
515,14,12648
515,44,12310
515,69,8759
515,77,6658
515,161,8325
515,243,10967
515,374,10111
515,446,7080
515,498,3217
515,665,4162
516,8,6972
516,20,11372
516,197,12385
516,419,9348
516,478,10074
518,479,7169
518,480,10472
518,519,789
519,479,7665
519,480,10934
519,518,789
521,522,6359
521,597,4515
522,521,6359
522,597,4896
527,47,10633
527,175,6347
527,349,9475
527,454,8617
528,100,2334
528,154,2804
528,172,5882
528,184,2991
528,307,10574
529,174,5911
529,215,12704
529,272,233
529,616,3356
530,74,10911
530,166,5808
530,348,8945
530,494,4378
530,511,8099
530,672,10691
531,244,10603
531,250,10330
531,274,6428
531,376,12343
531,653,465
532,345,9869
532,357,932
532,358,11811
532,364,7075
532,460,12574
532,533,984
533,345,9962
533,357,287
533,358,11170
533,361,12818
533,364,6820
533,460,12376
533,532,984
534,359,12895
534,448,6414
534,457,8959
534,459,7376
534,535,2490
535,358,12973
535,448,8094
535,457,9548
535,459,9122
535,534,2490
536,81,10819
536,144,9775
536,151,4810
536,195,7512
536,327,7207
540,49,10265
543,198,10664
543,478,5075
543,483,7201
543,484,1665
543,510,7193
544,316,6241
545,132,6809
545,133,11466
545,188,12641
548,35,3826
548,278,10002
548,308,2272
548,334,9985
548,381,6652
548,436,5650
549,9,11798
549,156,12932
549,208,4687
549,420,10154
550,157,6381
550,182,6331
557,104,3648
557,218,6335
557,507,1845
557,591,1351
558,15,7399
558,23,5987
558,27,7180
558,31,12309
558,204,11441
558,213,11783
558,312,5866
558,472,10930
558,603,6710
559,55,7710
559,227,2591
559,228,7345
559,259,3813
559,269,9380
559,305,10608
559,351,12492
562,215,9990
562,265,12326
562,270,5064
563,121,12446
564,442,9435
564,645,8428
565,49,9852
566,280,8847
566,333,2653
566,569,6715
569,280,6982
569,333,4919
569,566,6715
570,143,8991
570,275,12496
570,369,5436
570,648,4428
574,196,8381
574,367,10625
577,410,11215
578,159,2980
578,190,10692
578,249,8310
578,300,9226
578,342,2601
578,650,10621
579,1,10873
579,11,4786
579,19,6438
579,263,3827
579,330,10467
579,453,12564
580,594,4858
582,42,4235
582,291,10947
582,371,7446
582,583,3322
582,584,11181
582,594,10746
583,42,1055
583,291,8960
583,371,8007
583,500,12774
583,582,3322
583,584,8083
584,16,10550
584,42,7603
584,135,9221
584,221,5033
584,291,11699
584,371,11036
584,500,12079
584,582,11181
584,583,8083
589,314,4873
591,104,2298
591,218,7532
591,507,894
591,557,1351
592,22,7879
592,67,5033
592,280,10049
594,580,4858
594,582,10746
596,61,9416
596,112,7379
597,521,4515
597,522,4896
603,2,10607
603,12,11674
603,15,4343
603,23,12684
603,27,10866
603,161,12180
603,204,6052
603,213,5642
603,312,11909
603,472,12120
603,558,6710
603,663,10362
605,58,6040
605,133,7133
605,292,7851
605,385,12495
605,401,5873
605,485,8557
610,452,7144
612,173,9478
613,286,5914
614,28,11674
614,55,9981
614,66,8931
614,228,6950
614,351,3274
614,404,8772
615,13,10919
615,397,6963
615,405,5744
615,486,8562
616,174,7051
616,215,9546
616,265,12910
616,272,3525
616,529,3356
623,624,4281
624,623,4281
634,636,10047
636,634,10047
644,442,10114
644,645,6259
645,442,6334
645,564,8428
645,644,6259
645,646,12854
646,442,7450
646,645,12854
648,143,7520
648,275,8082
648,369,7057
648,570,4428
650,159,10098
650,249,12530
650,342,8342
650,356,9159
650,408,3783
650,578,10621
652,447,5640
653,41,12747
653,244,10272
653,250,10563
653,274,6317
653,376,11930
653,531,465
654,75,3028
654,88,9923
654,89,8438
654,92,3517
654,194,12598
654,393,5639
654,655,1900
655,75,4874
655,88,9099
655,89,8265
655,92,4745
655,194,10978
655,393,6218
655,654,1900
659,2,11066
659,206,12777
659,338,7751
659,663,11353
661,165,11263
663,2,4693
663,31,12392
663,77,7859
663,161,5747
663,204,4309
663,206,12875
663,213,11569
663,338,3602
663,603,10362
663,659,11353
663,665,9318
664,4,11044
664,444,3860
665,12,10996
665,69,12702
665,77,3062
665,161,4273
665,204,11682
665,243,12177
665,338,10221
665,374,11704
665,446,10292
665,498,5577
665,515,4162
665,663,9318
667,91,10696
668,10,7339
668,53,3247
668,226,12642
668,413,2946
668,473,1891
670,168,1980
670,322,5982
672,51,9234
672,74,10270
672,156,12556
672,166,9616
672,278,9077
672,334,6722
672,348,3318
672,378,11454
672,381,10307
672,494,8363
672,511,6292
672,530,10691
